gvkey,ayear,patent_app_count,RETech_avg
1040,1948,20,1.4275752929521077
1040,1949,15,1.5201205497438188
1040,1950,22,3.5436902316243977
1040,1951,22,1.4779736457657864
1040,1952,16,0.865577861735054
1040,1953,28,2.0853897604043015
1040,1954,28,2.3319641565121785
1040,1955,39,1.8597135978442179
1040,1956,51,1.1272684762506482
1040,1957,44,2.716434786291369
1040,1958,56,1.2468809377216634
1040,1959,54,1.6244904097494037
1040,1960,79,1.4176530589872662
1040,1961,86,1.3038016084089967
1040,1962,106,1.6377116780291294
1040,1963,120,1.1106808773803702
1040,1964,104,0.989543767615185
1040,1965,73,1.3381379050430873
1040,1966,64,1.070327936332678
1040,1967,72,1.254468872041198
1040,1968,69,1.779534014566503
1040,1969,59,2.063675414441481
1040,1970,43,1.3807025038768475
1040,1971,29,1.9844473738178445
1040,1972,22,1.6998315955582362
1040,1973,40,1.3812337040446385
1040,1974,36,2.1036775025098873
1040,1975,31,2.3181773866882907
1040,1976,27,1.7144589992681143
1040,1977,24,1.190350500716833
1040,1978,21,1.3191808339024338
1040,1979,22,1.1960214771594921
1040,1980,37,1.0330690627428176
1040,1981,32,1.4808758815716645
1040,1982,20,2.4072787787286862
1040,1983,10,1.5017920405026988
1040,1984,2,1.2660235123324421
1043,1926,1,0.6092556803760591
1043,1927,8,1.4032388009674406
1043,1928,17,2.1080451888724006
1043,1929,29,1.402254363619973
1043,1930,37,1.2662222247841743
1043,1931,46,3.3555418290058947
1043,1932,18,2.2374912751285487
1043,1933,17,2.5753263274094262
1043,1934,20,1.9670122923174405
1043,1935,12,1.8495238537371013
1043,1936,14,1.9214030362553172
1043,1937,7,6.505311506288649
1043,1938,12,2.3397885413419846
1043,1939,4,4.2764013480552245
1043,1940,12,9.545950943141785
1043,1941,22,6.306683419500001
1043,1942,16,2.0107520159545125
1043,1943,9,5.16142003297389
1043,1944,14,6.8312706712029
1043,1945,14,1.6363773243859356
1043,1946,30,4.1075383803604515
1043,1947,15,2.4393950807152596
1043,1948,9,2.853376732477523
1043,1949,11,6.441081140607938
